===============================================================================
Id,USDDKK,len,datetime,open,high,low,close,volume,openinterest,USDPLN,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,USDDKK,USDPLN
1168,USDDKK,1167,2009-07-03 23:59:59.999989,5.32328,5.30624,5.33548,5.32859,0.0,,USDPLN,1168,2009-07-03 23:59:59.999989,3.12102,3.08775,3.12933,3.10593,0.0,,TestStrategy,1168,733591.9999999999,Broker,1168,99570.78215630777,100238.68583424116,BuySell,1168,,,BuySell,1168,,,DataTrades,1168,,
1169,USDDKK,1168,2009-07-06 23:59:59.999989,5.32869,5.31779,5.36491,5.3259,0.0,,USDPLN,1169,2009-07-06 23:59:59.999989,3.10602,3.0997,3.16539,3.123,0.0,,TestStrategy,1169,733594.9999999999,Broker,1169,99570.78215630777,100227.59585701024,BuySell,1169,,,BuySell,1169,,,DataTrades,1169,,
1170,USDDKK,1169,2009-07-07 23:59:59.999989,5.32581,5.29897,5.36409,5.35583,0.0,,USDPLN,1170,2009-07-07 23:59:59.999989,3.12286,3.10631,3.17593,3.16461,0.0,,TestStrategy,1170,733595.9999999999,Broker,1170,99570.78215630777,100217.4062062628,BuySell,1170,,,BuySell,1170,,,DataTrades,1170,,
1171,USDDKK,1170,2009-07-08 23:59:59.999989,5.35595,5.34157,5.38266,5.35767,0.0,,USDPLN,1171,2009-07-08 23:59:59.999989,3.16478,3.1592,3.20211,3.17567,0.0,,TestStrategy,1171,733596.9999999999,Broker,1171,99570.78215630777,100211.87474310117,BuySell,1171,,,BuySell,1171,,,DataTrades,1171,,
1172,USDDKK,1171,2009-07-09 23:59:59.999989,5.35752,5.29076,5.35911,5.32606,0.0,,USDPLN,1172,2009-07-09 23:59:59.999989,3.17576,3.08626,3.17703,3.11285,0.0,,TestStrategy,1172,733597.9999999999,Broker,1172,99570.78215630777,100233.52556310536,BuySell,1172,,,BuySell,1172,,,DataTrades,1172,,
1173,USDDKK,1172,2009-07-10 23:59:59.999989,5.32632,5.32059,5.36463,5.33964,0.0,,USDPLN,1173,2009-07-10 23:59:59.999989,3.11295,3.10435,3.15534,3.11769,0.0,,TestStrategy,1173,733598.9999999999,Broker,1173,99570.78215630777,100237.00208507254,BuySell,1173,,,BuySell,1173,,,DataTrades,1173,,
1174,USDDKK,1173,2009-07-13 23:59:59.999989,5.33953,5.3144,5.35455,5.32346,0.0,,USDPLN,1174,2009-07-13 23:59:59.999989,3.11778,3.11615,3.17231,3.13843,0.0,,TestStrategy,1174,733601.9999999999,Broker,1174,99570.78215630777,100217.56745227543,BuySell,1174,,,BuySell,1174,,,DataTrades,1174,,
1175,USDDKK,1174,2009-07-14 23:59:59.999989,5.32331,5.31157,5.35134,5.32412,0.0,,USDPLN,1175,2009-07-14 23:59:59.999989,3.13835,3.06608,3.14124,3.0782,0.0,,TestStrategy,1175,733602.9999999999,Broker,1175,99570.78215630777,100252.62065783604,BuySell,1175,,,BuySell,1175,,,DataTrades,1175,,
1176,USDDKK,1175,2009-07-15 23:59:59.999989,5.32424,5.26669,5.3259,5.29022,0.0,,USDPLN,1176,2009-07-15 23:59:59.999989,3.0783,3.02246,3.08098,3.0407,0.0,,TestStrategy,1176,733603.9999999999,Broker,1176,99570.78215630777,100258.60647270264,BuySell,1176,,,BuySell,1176,,,DataTrades,1176,,
1177,USDDKK,1176,2009-07-16 23:59:59.999989,5.29039,5.25565,5.29671,5.27406,0.0,,USDPLN,1177,2009-07-16 23:59:59.999989,3.04081,3.01273,3.07282,3.0529,0.0,,TestStrategy,1177,733604.9999999999,Broker,1177,99570.78215630777,100244.1080601645,BuySell,1177,,,BuySell,1177,,,DataTrades,1177,,
1178,USDDKK,1177,2009-07-17 23:59:59.999989,5.27424,5.24507,5.29374,5.25396,0.0,,USDPLN,1178,2009-07-17 23:59:59.999989,3.05304,3.04242,3.08624,3.05544,0.0,,TestStrategy,1178,733605.9999999999,Broker,1178,99570.78215630777,100233.36399555909,BuySell,1178,,,BuySell,1178,,,DataTrades,1178,,
1179,USDDKK,1178,2009-07-20 23:59:59.999989,5.25405,5.22481,5.26256,5.24057,0.0,,USDPLN,1179,2009-07-20 23:59:59.999989,3.05557,2.9722,3.05567,2.98204,0.0,,TestStrategy,1179,733608.9999999999,Broker,1179,99570.78215630777,100269.52954776738,BuySell,1179,,,BuySell,1179,,,DataTrades,1179,,
1180,USDDKK,1179,2009-07-21 23:59:59.999989,5.24067,5.21474,5.25675,5.24431,0.0,,USDPLN,1180,2009-07-21 23:59:59.999989,2.98212,2.97461,3.02101,3.00596,0.0,,TestStrategy,1180,733609.9999999999,Broker,1180,99570.78215630777,100257.45584376683,BuySell,1180,,,BuySell,1180,,,DataTrades,1180,,
1181,USDDKK,1180,2009-07-22 23:59:59.999989,5.24422,5.22149,5.25912,5.23062,0.0,,USDPLN,1181,2009-07-22 23:59:59.999989,3.00586,2.98045,3.02142,2.98371,0.0,,TestStrategy,1181,733610.9999999999,Broker,1181,99570.78215630777,100263.97290569553,BuySell,1181,,,BuySell,1181,,,DataTrades,1181,,
